,ID,time,x,y
55589,8.0,4159.0,514.1836547851562,1016.7958984375
55590,12757.0,4159.0,1015.2985229492188,997.8358154296876
55591,12753.0,4159.0,1033.796875,901.203125
55592,2549.0,4159.0,1076.5167236328125,865.5499877929688
55593,3384.0,4159.0,1146.7608642578125,704.45654296875
55594,2812.0,4159.0,611.1842041015625,35.078948974609375
55596,12768.0,4159.0,4.5789475440979,3.973684310913086
55597,746.0,4160.0,891.30908203125,1478.6727294921875
55598,12639.0,4160.0,1053.72412109375,1468.7586669921875
55599,12120.0,4160.0,713.631591796875,1156.4210205078125
55600,8.0,4160.0,513.1697998046875,1018.20751953125
55601,12757.0,4160.0,1015.242431640625,998.8333129882812
55602,12753.0,4160.0,1034.015625,900.90625
55603,2549.0,4160.0,1076.5167236328125,865.4833374023438
55604,3384.0,4160.0,1145.434814453125,705.2608642578125
55605,2812.0,4160.0,610.8181762695312,35.45454406738281
55607,12768.0,4160.0,4.324324131011963,3.297297239303589
55608,746.0,4161.0,891.4444580078125,1478.5740966796875
55609,12639.0,4161.0,1053.8214111328125,1468.5
55610,12120.0,4161.0,713.6444702148438,1156.066650390625
55611,8.0,4161.0,512.3673706054688,1019.5918579101562
55612,12757.0,4161.0,1015.308837890625,1000.0294189453124
55613,12753.0,4161.0,1033.984375,900.984375
55614,2549.0,4161.0,1076.3387451171875,865.8548583984375
55615,3384.0,4161.0,1144.93994140625,707.1400146484375
55616,2812.0,4161.0,613.0,35.37036895751953
55618,12768.0,4161.0,3.548387050628662,3.064516067504883
55619,746.0,4162.0,891.5471801757812,1478.6414794921875
55620,12639.0,4162.0,1053.689697265625,1468.7586669921875
55621,12120.0,4162.0,713.7555541992188,1156.0
55622,8.0,4162.0,511.51019287109375,1020.8571166992188
55623,12757.0,4162.0,1015.203125,999.953125
55624,12753.0,4162.0,1033.90478515625,900.984130859375
55625,2549.0,4162.0,1076.3492431640625,865.8571166992188
55626,3384.0,4162.0,1144.6981201171875,707.603759765625
55627,2812.0,4162.0,629.4359130859375,27.897436141967773
55628,12768.0,4162.0,5.083333492279053,4.125
55629,746.0,4163.0,891.5740966796875,1478.851806640625
55630,12639.0,4163.0,1053.7586669921875,1468.7586669921875
55632,12120.0,4163.0,713.7391357421875,1155.7825927734375
55633,8.0,4163.0,510.14892578125,1022.2978515625
55634,12757.0,4163.0,1015.328125,1001.5625
55635,12753.0,4163.0,1033.9375,900.96875
55636,2549.0,4163.0,1076.1904296875,866.2380981445312
55637,3384.0,4163.0,1144.6922607421875,708.7115478515625
55638,2812.0,4163.0,628.0625,28.21875
55639,12779.0,4163.0,643.4242553710938,22.484848022460938
55640,12768.0,4163.0,5.55555534362793,3.9111111164093018
55641,746.0,4164.0,891.8070068359375,1478.385986328125
55642,12639.0,4164.0,1053.8214111328125,1468.5
55643,12120.0,4164.0,713.6738891601562,1154.8260498046875
55644,8.0,4164.0,509.2156982421875,1022.431396484375
55645,12757.0,4164.0,1015.453125,1002.078125
55646,12753.0,4164.0,1033.890625,900.984375
55647,2549.0,4164.0,1076.541015625,865.8032836914062
55648,3384.0,4164.0,1144.4200439453125,709.4400024414062
55649,2812.0,4164.0,628.058837890625,28.08823585510254
55650,12779.0,4164.0,645.4053955078125,22.216217041015625
55651,12768.0,4164.0,4.309523582458496,4.357142925262451
55652,746.0,4165.0,891.6792602539062,1478.9810791015625
55653,12639.0,4165.0,1053.7857666015625,1468.5
55655,12120.0,4165.0,713.4000244140625,1154.280029296875
55656,8.0,4165.0,507.9807739257813,1023.7884521484376
55657,12757.0,4165.0,1014.984619140625,1002.892333984375
55658,12753.0,4165.0,1033.96875,900.9375
55659,2549.0,4165.0,1076.5,865.816650390625
55660,3384.0,4165.0,1144.980712890625,710.8846435546875
55661,2812.0,4165.0,626.5416870117188,28.04166603088379
55662,12779.0,4165.0,643.9310302734375,22.68965530395508
55663,12768.0,4165.0,3.472222328186035,4.05555534362793
55664,746.0,4166.0,891.5184936523438,1478.5740966796875
55665,12639.0,4166.0,1053.689697265625,1468.7586669921875
55666,12120.0,4166.0,712.9607543945312,1153.6470947265625
55667,8.0,4166.0,507.2799987792969,1024.4200439453125
55668,12757.0,4166.0,1014.671630859375,1004.1044921875
55669,12753.0,4166.0,1034.0625,900.921875
55670,2549.0,4166.0,1076.0517578125,866.137939453125
55671,3384.0,4166.0,1145.0,711.9473876953125
55672,2812.0,4166.0,627.7825927734375,28.56521797180176
55673,12779.0,4166.0,648.425537109375,21.80850982666016
55674,12768.0,4166.0,3.684210538864136,4.184210300445557
55675,746.0,4167.0,891.6727294921875,1479.07275390625
55676,12639.0,4167.0,1053.689697265625,1468.7586669921875
55677,12120.0,4167.0,712.8599853515625,1153.780029296875
55678,8.0,4167.0,506.0377502441406,1025.603759765625
55679,12757.0,4167.0,1015.0,1005.0625
55680,12753.0,4167.0,1033.95458984375,900.8636474609376
55681,2549.0,4167.0,1076.34423828125,865.9180297851562
55682,3384.0,4167.0,1145.0,713.5516967773438
55683,12779.0,4167.0,649.4716796875,21.50943374633789
55684,12768.0,4167.0,2.884615421295166,2.769230842590332
55685,746.0,4168.0,891.5283203125,1478.6226806640625
55686,12639.0,4168.0,1053.689697265625,1468.7586669921875
55687,12120.0,4168.0,712.2307739257812,1153.2115478515625
55688,8.0,4168.0,504.9056701660156,1026.3018798828125
55689,12757.0,4168.0,1014.8666381835938,1006.1333618164062
55690,12753.0,4168.0,1033.8548583984375,901.0968017578124
55691,2549.0,4168.0,1076.0509033203125,866.0508422851562
55692,3384.0,4168.0,1145.0877685546875,714.877197265625
55693,12779.0,4168.0,644.0714111328125,22.53571510314941
55694,12768.0,4168.0,5.219511985778809,3.878048896789551
55695,746.0,4169.0,891.625,1478.5892333984375
55696,12639.0,4169.0,1053.72412109375,1468.7586669921875
55697,12120.0,4169.0,712.0392456054688,1153.2156982421875
55698,8.0,4169.0,503.9074096679688,1027.148193359375
55699,12757.0,4169.0,1014.5230712890624,1007.107666015625
55700,12753.0,4169.0,1033.859375,900.96875
55701,2549.0,4169.0,1075.8524169921875,866.6229248046875
55702,3384.0,4169.0,1145.4642333984375,715.875
55703,12779.0,4169.0,653.1621704101562,21.95945930480957
55704,12768.0,4169.0,5.022727489471436,4.204545497894287
55705,746.0,4170.0,891.4905395507812,1478.717041015625
55706,12639.0,4170.0,1053.7930908203125,1468.7586669921875
55707,12120.0,4170.0,712.26416015625,1153.396240234375
55708,8.0,4170.0,502.5282897949219,1028.0943603515625
55709,12757.0,4170.0,1014.2615356445312,1008.3846435546876
55710,12753.0,4170.0,1033.857177734375,901.1270141601562
55711,2549.0,4170.0,1075.9031982421875,866.8386840820312
55712,3384.0,4170.0,1146.51611328125,717.5645141601562
55713,12779.0,4170.0,656.4375,22.225000381469727
55714,12768.0,4170.0,4.650000095367432,3.700000047683716
55715,746.0,4171.0,891.6851806640625,1478.5369873046875
55716,12639.0,4171.0,1053.689697265625,1468.7586669921875
55717,12120.0,4171.0,712.0892944335938,1153.3392333984375
55718,8.0,4171.0,500.3829650878906,1029.680908203125
55719,12757.0,4171.0,1013.791015625,1009.567138671875
55720,12753.0,4171.0,1033.859375,900.984375
55721,2549.0,4171.0,1075.741943359375,867.1774291992188
55722,3384.0,4171.0,1146.913818359375,719.1551513671875
55723,12779.0,4171.0,655.4473876953125,22.0657901763916
55724,12768.0,4171.0,4.111111164093018,4.311110973358154
55725,746.0,4172.0,891.4363403320312,1478.8363037109375
55726,12639.0,4172.0,1053.72412109375,1468.7586669921875
55727,12120.0,4172.0,711.4483032226562,1152.810302734375
55728,8.0,4172.0,499.4898071289063,1030.551025390625
55729,12757.0,4172.0,1013.6349487304688,1010.4761962890624
55730,12753.0,4172.0,1033.8125,901.140625
55731,2549.0,4172.0,1075.6500244140625,867.1166381835938
55732,3384.0,4172.0,1147.25927734375,720.75927734375
55734,12779.0,4172.0,666.3114624023438,22.967212677001957
55735,12768.0,4172.0,3.303030252456665,3.696969747543335
55736,746.0,4173.0,891.3818359375,1478.6181640625
55737,12639.0,4173.0,1053.689697265625,1468.7586669921875
55738,12120.0,4173.0,710.7413940429688,1152.1551513671875
55739,8.0,4173.0,498.6000061035156,1031.1199951171875
55740,12757.0,4173.0,1013.1571655273438,1011.5428466796876
55741,12753.0,4173.0,1033.96875,900.75
55742,2549.0,4173.0,1075.6507568359375,867.7777709960938
55743,3384.0,4173.0,1147.131103515625,722.9835815429688
55744,12779.0,4173.0,667.2535400390625,23.507041931152344
55745,12768.0,4173.0,2.3333332538604736,3.407407522201538
55746,746.0,4174.0,891.5370483398438,1478.5555419921875
55747,12639.0,4174.0,1053.72412109375,1468.7586669921875
55748,12120.0,4174.0,711.1785888671875,1152.767822265625
55749,8.0,4174.0,496.5319213867188,1032.276611328125
55750,12757.0,4174.0,1012.4627075195312,1012.8059692382812
55751,12753.0,4174.0,1033.761962890625,901.3491821289062
55752,2549.0,4174.0,1075.534423828125,867.3793334960938
55753,3384.0,4174.0,1147.75,724.4285888671875
55754,12779.0,4174.0,668.8235473632812,23.985294342041016
55755,12768.0,4174.0,4.902439117431641,3.707317113876343
55756,746.0,4175.0,891.5818481445312,1478.490966796875
55757,12639.0,4175.0,1053.689697265625,1468.7586669921875
55758,12120.0,4175.0,710.6607055664062,1152.357177734375
55759,8.0,4175.0,494.8367309570313,1032.959228515625
55760,12757.0,4175.0,1012.058837890625,1014.058837890625
55761,12753.0,4175.0,1033.84375,901.21875
55762,2549.0,4175.0,1075.3968505859375,868.2222290039062
55763,3384.0,4175.0,1148.0892333984375,725.1785888671875
